sample,station,month,t1,t2,t3,t4,t5,t6,t7,t8
shmay,Shikmona,May,4200,18600,32000,49800,61000,40200,17800,14200
shsept,Shikmona,September,1200,4400,5400,4600,2400,1000,0,0
shnov,Shikmona,November,5400,33400,21600,4400,1400,0,200,0
shmar,Shikmona,March,1200,10400,24400,29400,17800,5800,1000,400
